Experiment sNumber sAge sGender blockNo trialNo stimtype trialtype response correct RT 
aRunExp 01 22 female 1 1 notarget dimchange right yes 0.4003 
aRunExp 01 22 female 1 2 green notarget left yes 0.5837 
aRunExp 01 22 female 1 3 right repeat right yes 0.4181 
aRunExp 01 22 female 1 4 left dimchange left no 0.3676 
aRunExp 01 22 female 1 5 green featchange right yes 0.4012 
aRunExp 01 22 female 1 6 notarget dimchange right yes 0.5008 
aRunExp 01 22 female 1 7 red notarget left yes 0.5012 
aRunExp 01 22 female 1 8 notarget featchange right yes 0.5511 
aRunExp 01 22 female 1 9 notarget notarget left yes 0.5185 
aRunExp 01 22 female 1 10 notarget notarget left yes 0.4506 
aRunExp 01 22 female 1 11 notarget notarget right no 0.6847 
aRunExp 01 22 female 1 12 red notarget right no 0.5009 
aRunExp 01 22 female 1 13 green repeat right yes 0.5502 
aRunExp 01 22 female 1 14 red featchange right yes 0.4004 
aRunExp 01 22 female 1 15 green featchange right yes 0.4512 
aRunExp 01 22 female 2 1 left repeat right yes 0.6337 
aRunExp 01 22 female 2 2 red repeat right yes 0.4344 
aRunExp 01 22 female 2 3 red dimchange left no 0.3508 
aRunExp 01 22 female 2 4 notarget repeat right yes 0.4514 
aRunExp 01 22 female 2 5 green notarget left yes 0.4341 
aRunExp 01 22 female 2 6 notarget featchange right yes 0.3499 
aRunExp 01 22 female 2 7 right notarget left yes 0.4006 
aRunExp 01 22 female 2 8 red dimchange left no 0.3844 
aRunExp 01 22 female 2 9 green dimchange right yes 0.4009 
aRunExp 01 22 female 2 10 notarget featchange right yes 0.3846 
aRunExp 01 22 female 2 11 green notarget left yes 0.4176 
